Sales Person;Geography;Product;Date;Amount;Customers;Boxes
Dennison Crosswaite;UK;Almond Choco;01/01/2021;2 037,00 €;456;422
Kelci Walkden;India;Almond Choco;01/01/2021;6 160,00 €;44;126
Gigi Bohling;Canada;Caramel Stuffed Bars;01/01/2021;1 442,00 €;74;200
Madelene Upcott;India;Eclairs;01/01/2021;6 979,00 €;108;252
Oby Sorrel;USA;Manuka Honey Choco;01/01/2021;966,00 €;264;71
Brien Boise;USA;After Nines;01/01/2021;7 924,00 €;233;124
Jan Morforth;New Zealand;Spicy Special Slims;01/01/2021;2 996,00 €;99;88
Marney O'Breen;USA;85% Dark Bars;01/01/2021;1 981,00 €;44;471
Gigi Bohling;Canada;Eclairs;01/01/2021;1 456,00 €;208;10
Andria Kimpton;USA;White Choc;01/01/2021;5 257,00 €;124;577
Kelci Walkden;Australia;Smooth Sliky Salty;01/01/2021;4 767,00 €;453;189
Barr Faughny;Canada;White Choc;01/01/2021;4 718,00 €;117;67
Barr Faughny;UK;Orange Choco;01/01/2021;9 303,00 €;177;82
Barr Faughny;USA;Mint Chip Choco;01/01/2021;14,00 €;219;1
Husein Augar;UK;Caramel Stuffed Bars;01/01/2021;7 518,00 €;174;9
Barr Faughny;Canada;Eclairs;01/01/2021;7 651,00 €;81;288
Ches Bonnell;USA;Eclairs;01/01/2021;2 359,00 €;57;125
Jan Morforth;Canada;85% Dark Bars;01/01/2021;70,00 €;216;396
Marney O'Breen;USA;Smooth Sliky Salty;01/01/2021;399,00 €;69;70
Dotty Strutley;USA;Peanut Butter Cubes;01/01/2021;3 801,00 €;30;52
Jan Morforth;Australia;After Nines;01/01/2021;5 201,00 €;381;97
Gigi Bohling;USA;After Nines;01/01/2021;2 450,00 €;70;55
Oby Sorrel;India;70% Dark Bites;01/01/2021;5 131,00 €;152;619
Curtice Advani;USA;White Choc;01/01/2021;5 369,00 €;403;26
Oby Sorrel;Australia;Drinking Coco;01/01/2021;728,00 €;37;634
Rafaelita Blaksland;UK;Manuka Honey Choco;01/01/2021;5 880,00 €;118;11
Kaine Padly;UK;Spicy Special Slims;01/01/2021;1 148,00 €;165;285
Dotty Strutley;India;After Nines;01/01/2021;2 058,00 €;81;321
Beverie Moffet;Australia;Manuka Honey Choco;01/01/2021;3 906,00 €;196;131
Husein Augar;Australia;70% Dark Bites;01/01/2021;560,00 €;21;676
Husein Augar;New Zealand;Fruit & Nut Bars;01/01/2021;3 647,00 €;265;7
Brien Boise;USA;Eclairs;01/01/2021;3 038,00 €;2;539
Jan Morforth;USA;Raspberry Choco;01/01/2021;4 760,00 €;159;196
Dennison Crosswaite;New Zealand;Organic Choco Syrup;01/01/2021;1 750,00 €;264;138
Husein Augar;UK;After Nines;01/01/2021;10 241,00 €;156;377
Dennison Crosswaite;UK;99% Dark & Pure;01/01/2021;3 500,00 €;24;46
Curtice Advani;UK;Peanut Butter Cubes;01/01/2021;1 652,00 €;248;221
Karlen McCaffrey;UK;Milk Bars;01/01/2021;5 257,00 €;428;45
Husein Augar;India;50% Dark Bites;01/01/2021;3 360,00 €;81;207
Karlen McCaffrey;USA;Raspberry Choco;01/01/2021;7 616,00 €;112;208
Curtice Advani;New Zealand;Organic Choco Syrup;01/01/2021;371,00 €;117;31
Husein Augar;USA;Organic Choco Syrup;01/01/2021;1 743,00 €;141;77
Husein Augar;Australia;Fruit & Nut Bars;01/01/2021;6 251,00 €;159;212
Dennison Crosswaite;India;Caramel Stuffed Bars;04/01/2021;3 717,00 €;144;174
Kaine Padly;India;Fruit & Nut Bars;04/01/2021;5 712,00 €;309;537
Curtice Advani;UK;Eclairs;04/01/2021;1 862,00 €;92;334
Dotty Strutley;India;Orange Choco;04/01/2021;4 473,00 €;153;373
Kaine Padly;USA;After Nines;04/01/2021;5 509,00 €;198;39
Wilone O'Kielt;UK;Baker's Choco Chips;04/01/2021;4 221,00 €;64;103
Dotty Strutley;Australia;Drinking Coco;04/01/2021;707,00 €;234;203
Gunar Cockshoot;India;Mint Chip Choco;04/01/2021;1 603,00 €;405;73
Husein Augar;New Zealand;Orange Choco;04/01/2021;11 053,00 €;242;217
Rafaelita Blaksland;USA;Baker's Choco Chips;04/01/2021;5 740,00 €;363;109
Dennison Crosswaite;New Zealand;99% Dark & Pure;04/01/2021;6 958,00 €;89;427
